kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,88,1019.3,9.1,0.2,7.4,0,1016.1
0,90,1019.5,9.2,0.8,7.3,0,1016.3
0,81,1019.9,8.9,1.7,8.4,0.7,1016.7
0,73,1020.1,9.4,1.5,10.7,1,1016.9
0,61,1019.9,10,1.4,14.4,1,1016.7
0,55,1019.8,10.1,3.2,16.2,1,1016.7
0,48,1019.3,9.5,3,17.4,1,1016.2
0,47,1018.9,9.9,2.2,18.4,1,1015.8
0,47,1018.3,10.7,1.1,19.6,1,1015.2
0,48,1018.3,10.8,1,19.4,1,1015.2
0,50,1018,11.1,1,19.2,1,1014.9
0,56,1017.9,11.9,1.4,18.4,1,1014.8
0,65,1018,12.3,2.3,16.6,0.4,1014.9
0,73,1018.3,12.4,1.7,14.9,0,1015.2
0,80,1018.3,12.4,1.3,13.5,0,1015.1
0,77,1017.8,11.8,2.6,13.3,0,1014.6
0,77,1017.7,11.5,2,12.9,0,1014.5
0,80,1017.3,11.2,1.4,12,0,1014.1
0,78,1016.8,10.7,1.8,11.6,0,1013.6
0,88,1016.6,11.2,1.5,10.6,0,1013.4
0,83,1016.4,10.3,1.9,10.1,0,1013.2
0,84,1015.8,10,2.1,9.5,0,1012.6
0,85,1015.5,10,1.4,9.4,0,1012.3
0,72,1015,9.3,2.2,10.8,0,1011.8
0,67,1014.8,9.2,5.3,11.7,0,1011.6
0,68,1014.6,9.4,4.9,11.8,0,1011.4
0,66,1014.2,9.6,4.5,12.5,0.3,1011
0,71,1014,10.8,4,13.3,0.5,1010.9
0,70,1013.4,12,5.5,15.1,0.7,1010.3
0,53,1013,11,4.3,18.1,0,1009.9
0,36,1012,8.5,5.1,20.2,0.3,1008.9
0,36,1011.6,9.5,3.4,22,0.8,1008.6
0,48,1012,11,2.9,19.7,0.6,1008.9
0,50,1011.4,11.1,1.2,19.2,0.1,1008.3
0,65,1012,12.9,2.1,17.4,0,1008.9
0,78,1012.6,14.3,4.6,16.1,0,1009.5
0.5,67,1013.3,10.8,8.2,14.1,0,1010.2
0,57,1013.8,8.9,8.1,13.7,0,1010.7
0,58,1015,8.8,5.9,13.2,0,1011.8
0,53,1016,7.7,7.1,12.6,0,1012.8
0,49,1016.5,7,7.2,12.3,0,1013.3
0,42,1017.1,5.7,7.9,11.6,0,1013.9
0,41,1017.4,5.4,6.6,11.1,0,1014.2
0,41,1017.4,5.3,5.7,10.7,0,1014.2
0,47,1017.8,6.1,5.9,10.8,0,1014.6
0,45,1018.7,5.8,5.4,10.6,0,1015.5
0,43,1019.2,5.4,5.6,10.2,0,1016
0,43,1019.4,5.1,5.8,9.6,0,1016.2
0,42,1020,4.9,4.2,9.2,0,1016.8
0,43,1020.3,4.9,5.1,9,0,1017.1
0,42,1020.7,4.9,3.4,9.3,0.4,1017.5
0,42,1020.9,4.9,3.7,9.1,0.6,1017.7
0,43,1021.3,5,2.2,9.3,0.1,1018.1
0,41,1020.7,5,3,10,0.5,1017.5
0,39,1020.1,5,2.3,10.7,1,1016.9
0,40,1019.8,5.4,3.9,11.4,1,1016.6
